,disython_sub2,disython_sub1,ratio
342,3,18,0.011928398945096346
87,8,5,0.005693555126735065
96,17,5,0.005687855282124615
84,5,5,0.005656604409950119
86,7,5,0.0055665861743782975
94,15,5,0.005364536510256375
92,13,5,0.005317365382445817
82,3,5,0.0052701942546352475
81,2,5,0.005242481217046548
99,20,5,0.00513123597395997
93,14,5,0.005118460460177935
91,12,5,0.005088388866198704
121,2,7,0.004820496169507878
88,9,5,0.004655200675805024
212,13,11,0.004631615111899739
90,11,5,0.004603705527945164
85,6,5,0.00459564712694419
95,16,5,0.004580316510405752
83,4,5,0.00457874413947874
97,18,5,0.004562627337476794
76,17,4,0.00451781476605676
356,17,18,0.004327164791155729
336,17,17,0.00424520495658487
196,17,10,0.0041508627009637445
276,17,14,0.0040618271972213075
56,17,3,0.004029200500485667
236,17,12,0.0040233041095093435
216,17,11,0.0039733813325764965
136,17,7,0.0038782528914918565
186,7,10,0.0038676393877344834
226,7,12,0.0038664601095392253
53,14,3,0.003858401708538249
346,7,18,0.003853684595757189
354,15,18,0.003845233102024464
213,14,11,0.0037675972875029144
208,9,11,0.0037367395080601653
206,7,11,0.003683671989273287
182,3,10,0.003647900550683609
187,8,10,0.0036292286459252603
333,14,17,0.003628639006827627
73,14,4,0.0036137014830209483
193,14,10,0.0036044638038247134
194,15,10,0.003602301793800062
66,7,4,0.0035934572073355814
192,13,10,0.003544910254963877
89,10,5,0.0035364587612311507
181,2,10,0.0035274176284007933
324,5,17,0.003524862525644386
79,20,4,0.003523290154717367
98,19,5,0.0035093353627400764
47,8,3,0.003503045879032002
191,12,10,0.003498918405348577
326,7,17,0.003497739127153316
126,7,7,0.0034942012925675255
217,18,11,0.003493022014372257
385,6,20,0.003490663457981733
184,5,10,0.003474743202345664
211,12,11,0.0034627538740271413
52,13,3,0.0034566609366849478
353,14,18,0.0034539092875626636
195,16,10,0.003453712741196787
334,15,17,0.0034515507311721353
214,15,11,0.0034489956284157286
124,5,7,0.003441133773780632
72,13,4,0.0034370063000972117
327,8,17,0.003433468465511425
207,8,11,0.003413224189826053
347,8,18,0.003402807232434555
134,15,7,0.0033906213577501614
80,1,5,0.0033904248113842805
46,7,3,0.0033896386259207704
67,8,4,0.0033874766158961196
74,15,4,0.003374111463016458
205,6,11,0.00336585651564961
341,2,18,0.0033646772374543474
339,20,17,0.0033442364154030995
