,disython_sub2,disython_sub1,ratio
51,4,5,0.02188465165497938
207,4,18,0.020512954567521332
231,4,20,0.01945140764541779
195,4,17,0.019406988166729505
75,4,7,0.01846494143507936
123,4,11,0.01713648454811435
111,4,10,0.016440906959274415
15,4,2,0.016015973716247585
39,4,4,0.014968381586121314
219,4,19,0.01483473005732471
27,4,3,0.013956953987316468
159,4,14,0.013930813320654782
57,10,5,0.013780258804392733
147,4,13,0.012885579746919033
63,4,6,0.011499731321117845
50,3,5,0.010843463005453377
53,6,5,0.010746565647075839
87,4,8,0.0106913361182643
99,4,9,0.010614289942840386
135,4,12,0.010452728830089209
183,4,16,0.010403788784985747
58,11,5,0.010225914323866743
171,4,15,0.009709587020706945
210,7,18,0.00947726921623992
209,6,18,0.009090465968193297
54,7,5,0.00870955911112299
126,7,11,0.007943421376933078
125,6,11,0.007810752579965871
130,11,11,0.007783629181474798
81,10,7,0.007686338730365511
214,11,18,0.007524581071248448
114,7,10,0.007366557793083063
3,4,1,0.007292656359513176
198,7,17,0.007276539557511232
49,2,5,0.007260422755509291
113,6,10,0.007089230870830121
33,10,3,0.007029677321969283
45,10,4,0.00690034981322199
158,3,14,0.006871260951072141
34,11,3,0.006823893276895699
194,3,17,0.006734661226787382
46,11,4,0.00671461349746789
166,11,14,0.006655256494972934
118,11,10,0.006593540936087444
122,3,11,0.006534380479958366
162,7,14,0.0065068639887355334
197,6,17,0.006402301322088784
161,6,14,0.006361223131620418
202,11,17,0.0062981317481737905
41,6,4,0.006275922008829651
42,7,4,0.006202806760723275
82,11,7,0.006175879908598077
117,10,10,0.006109250690565659
74,3,7,0.006106695587809251
26,3,3,0.005949065402375619
29,6,3,0.005843913096631237
110,3,10,0.0057479984700830895
38,3,4,0.005739940069082116
77,6,7,0.0055768065854039164
121,2,11,0.00532817543256907
205,2,18,0.005186268956405623
30,7,3,0.005075416806050797
234,7,20,0.005042397016583403
233,6,20,0.00502785258550848
150,7,13,0.0047106267509824384
78,7,7,0.004516832034227372
73,2,7,0.004455902660805392
186,7,16,0.004451971733487846
154,11,13,0.004379249578113223
22,11,2,0.0043731566407710296
25,2,3,0.004363918961574794
21,10,2,0.004324609688399322
193,2,17,0.00424461531748724
146,3,13,0.004213167898946867
109,2,10,0.004169141512990339
212,9,18,0.0041162705405693315
149,6,13,0.004082857658370181
182,3,16,0.00408167838017492
9,10,1,0.004068116680929382
142,11,12,0.004038241633316024
69,10,6,0.00403195214960795
37,2,4,0.004007383853873278
14,3,2,0.003903410826324164
238,11,20,0.0038945662398596824
204,1,18,0.003868622119563871
178,11,15,0.003766221462941771
138,7,12,0.003717674510570067
211,8,18,0.003697626781250576
18,7,2,0.003692320029371887
17,6,2,0.003686423638395568
185,6,16,0.0036522245707329083
56,9,5,0.003607608545678749
6,7,1,0.0036070189065811192
229,2,20,0.0035800920544559215
128,9,11,0.003560240871502312
157,2,14,0.0035144455682528893
55,8,5,0.003481229232419617
90,7,8,0.0034794603151267174
173,6,15,0.003456464390319068
70,11,6,0.003425016971778692
93,10,8,0.003348560435452404
