,disython_sub2,disython_sub1,ratio
75,4,7,0.019613558397266605
195,4,17,0.01897910672821449
171,4,15,0.017071427701008945
183,4,16,0.016953303335116666
27,4,3,0.016446999896616608
87,4,8,0.016084175305207032
51,4,5,0.015892346052110727
231,4,20,0.015493160383013835
63,4,6,0.015452475285277238
135,4,12,0.015039924463300661
39,4,4,0.014934379064824537
159,4,14,0.014835123150056473
147,4,13,0.014087853866990789
15,4,2,0.013992921972272029
207,4,18,0.013343925872145015
123,4,11,0.01313401435338802
99,4,9,0.01246988418308844
111,4,10,0.010347576524344823
174,7,15,0.009642171617211015
3,4,1,0.008859720534653288
29,6,3,0.007952855602495198
166,11,14,0.007736851146395989
219,4,19,0.007523008700321432
197,6,17,0.007182983487353616
202,11,17,0.007076455357048092
41,6,4,0.00678753219920839
150,7,13,0.0065780137731831275
101,6,9,0.006539490685471174
34,11,3,0.006424904154164675
194,3,17,0.006407018434869843
17,6,2,0.006373802099036566
170,3,15,0.006287125151684662
77,6,7,0.006234843818361284
154,11,13,0.006131460429909799
198,7,17,0.00606070373819395
238,11,20,0.006019429001359707
137,6,12,0.005997219262015568
82,11,7,0.0059663614825728245
65,6,6,0.00596066163796238
162,7,14,0.0058586540740720346
233,6,20,0.005824455006409378
89,6,8,0.005743870996399663
125,6,11,0.005659749151804156
30,7,3,0.005538873136789593
18,7,2,0.005506246440053948
78,7,7,0.005464185517756196
113,6,10,0.005360998675670584
94,11,8,0.005352743728303738
90,7,8,0.005347240430059171
50,3,5,0.005335840740838286
158,3,14,0.005299283116785102
22,11,2,0.005270783893732883
102,7,9,0.005253487813535673
190,11,16,0.0052468052370958475
209,6,18,0.005244053587973565
53,6,5,0.005114726079226267
134,3,12,0.00503512480104594
221,6,19,0.005021956194532158
182,3,16,0.00498107455042967
206,3,18,0.004979109086770897
145,2,13,0.004948447853694028
86,3,8,0.004921521001568832
193,2,17,0.004920931362471201
74,3,7,0.004920145177007693
58,11,5,0.004919162445178306
130,11,11,0.0048855530166132775
54,7,5,0.004870418946440722
66,7,6,0.004823444364996033
138,7,12,0.004732443397594823
146,3,13,0.00471475422466586
230,3,20,0.00471337840010472
226,11,19,0.004680555157003203
186,7,16,0.0046536283048780065
26,3,3,0.004603115888847526
234,7,20,0.004600560786091122
122,3,11,0.004573240841234168
42,7,4,0.004542383061791425
142,11,12,0.00452272842520369
214,11,18,0.0044612094126840795
210,7,18,0.004409910811190092
118,11,10,0.004403031688384383
14,3,2,0.00437807029991796
178,11,15,0.004342691954060038
70,11,6,0.004325395873862831
114,7,10,0.004299058660835268
5,6,1,0.004290607167102542
133,2,12,0.004184079036797016
6,7,1,0.0041223634779115285
126,7,11,0.004120398014252757
98,3,9,0.004087967863882996
157,2,14,0.004077550906491492
19,8,2,0.0039979496283111685
152,9,13,0.0039830121045044894
73,2,7,0.003952940510525255
106,11,9,0.003945668294987791
25,2,3,0.003938985718547963
164,9,14,0.0038409090819751662
165,10,14,0.0038389436183163908
38,3,4,0.003806906560678384
46,11,4,0.0037843037286024875
62,3,6,0.0036872098238590768
13,2,2,0.003652224570732909
169,2,15,0.0036418076133414093
93,10,8,0.003636697407828599
85,2,8,0.003619008234899637
201,10,17,0.0036131118439233175
237,10,20,0.0036050534429223464
141,10,12,0.0035997466910436576
153,10,13,0.003581074786285311
105,10,9,0.003540586234914575
57,10,5,0.003531741648450095
222,7,19,0.003475725934175051
81,10,7,0.0033933730068724417
97,2,9,0.0033908179041160385
21,10,2,0.0033597635783074124
181,2,16,0.0033479707963547756
189,10,16,0.0032766244655412927
129,10,11,0.0032654213226862862
218,3,19,0.003258738746246457
61,2,6,0.0032498941597819755
121,2,11,0.003230829162291871
110,3,10,0.003175206540748583
49,2,5,0.0031274457738403854
188,9,16,0.0031160460846194997
31,8,3,0.00309305015981185
33,10,3,0.003042537743781372
229,2,20,0.0030022457387765154
199,8,17,0.0029483920345261213
128,9,11,0.002947605849062612
213,10,18,0.002936992345305235
10,11,1,0.002871935498199833
32,9,3,0.0028711493127363233
205,2,18,0.0028516912225144647
177,10,15,0.0028027511774110043
45,10,4,0.002713912220034443
109,2,10,0.002708015829058124
72,1,7,0.002699564335325396
20,9,2,0.0026516070220513237
176,9,15,0.00262585944812139
37,2,4,0.0026103322852170795
24,1,3,0.0026097426461194487
235,8,20,0.00256650244562643
69,10,6,0.0025609991473818645
48,1,5,0.0025584440446254565
200,9,17,0.0025405583253306197
149,6,13,0.0025104867313513854
168,1,15,0.002411034270217446
84,1,8,0.0023634700496751276
196,5,17,0.002343815413087393
192,1,17,0.0023048992326436795
79,8,7,0.0022936960897886687
140,9,12,0.0022642141349070665
148,5,13,0.002258121197564869
156,1,14,0.002256352280271972
160,5,14,0.0022543868166132004
44,9,4,0.0022400389319041526
104,9,9,0.0022036778542168425
91,8,8,0.0021771440948234006
151,8,13,0.002170461518383572
217,2,19,0.0021360659043550357
55,8,5,0.0020924326111302623
144,1,13,0.0020890913229103486
76,5,7,0.0020849638492269245
1,2,1,0.002081229468275256
2,3,1,0.0020688470472249813
28,5,3,0.002052337152491283
60,1,6,0.0020212828266826612
225,10,19,0.002019317363023891
35,12,3,0.0019473813931127806
9,10,1,0.0019428608266976015
212,9,18,0.0019424677339658465
120,1,11,0.0019228130973781112
67,8,6,0.001887827844251943
167,12,14,0.0018825210923732536
161,6,14,0.0018823245460073764
180,1,16,0.0018473392928812086
124,5,11,0.0018394774382461136
211,8,18,0.0018386912527826055
88,5,8,0.0018355465109285679
172,5,15,0.0018335810472697928
232,5,20,0.0018237537289759274
43,8,4,0.001802919814192926
224,9,19,0.0017930924958990588
108,1,10,0.0017907339395085336
228,1,20,0.0017569279645776275
56,9,5,0.0017296080197206764
96,1,9,0.0016963916838874046
184,5,16,0.0016820437991783579
203,12,17,0.0016808645209830935
83,12,7,0.0016724130272503662
52,5,5,0.0016388035986853408
155,12,13,0.0016244557139762955
179,12,15,0.0015812155134832763
71,12,6,0.0015700123706282694
95,12,8,0.0015694227315306364
64,5,6,0.001556254125016855
23,12,2,0.0015538955686263266
163,8,14,0.0015250032528423547
107,12,9,0.0015222516037200716
100,5,9,0.0015206792327930527
204,1,18,0.0015175344909390154
223,8,19,0.0014937523806678567
116,9,10,0.0014638773330544995
208,5,18,0.0014444192428326428
8,9,1,0.0014176889370733229
7,8,1,0.0014172958443415685
175,8,15,0.001413561463389898
112,5,10,0.0013821140448495226
40,5,4,0.0013612801300665238
143,12,12,0.0013610835837006459
47,12,4,0.0013573492027489755
215,12,18,0.0013536148217973068
173,6,15,0.0013467356989915987
132,1,12,0.0013439840498693165
59,12,5,0.0013152882804512238
220,5,19,0.0013117504458654305
36,1,4,0.0013054609621573558
239,12,20,0.0012663482353477624
12,1,2,0.0012630069471278478
191,12,16,0.0012345077240756325
187,8,16,0.001216818551146671
131,12,11,0.001194215719070775
216,1,19,0.0011631613932621544
117,10,10,0.001110486967207025
119,12,10,0.0010641020248599703
227,12,19,0.001037371719100651
80,9,7,0.0010257754835138872
92,9,8,0.0009269126614775807
127,8,11,0.0009041132830358082
115,8,10,0.0008954652429372047
11,12,1,0.0008805277191305259
68,9,6,0.0008585145261522626
139,8,12,0.0008410218995891787
0,1,1,0.0006106695587809253
185,6,16,0.0006065420850975009
103,8,9,6.09293734219784e-06
16,5,2,5.89639097632049e-07
4,5,1,3.930927317547e-07
136,5,12,1.9654636587735e-07
236,9,20,1.9654636587735e-07
